,,Different Marketer & Operator Carrier Code,Flight Number,Flight Year,Flight Month,Flight Day,Flight Weekday,Proportion of freight to the payload,Proportion of mail to the payload,Proportion of filled seats,Average payload (lbs),Average number of available seats,Distance interval (x500mi),Distance (miles),Scheduled Elapsed Time,Flights Count_origin,Average Flights Per Day_origin,Busyness Score_origin,Scheduled hour of departure,Precipitation (mm)_origin,Snowfall (mm)_origin,Maximum Temperature (*C)_origin,Avg Pressure for the day (hPa)_origin,Avg Wind Speed (m/s)_origin,Avg Humidity (%)_origin,Fog_origin,Thunder_origin,Smoke_or_Haze_origin,Flights Count_destination,Average Flights Per Day_destination,Busyness Score_destination,Scheduled hour of arrival,Precipitation (mm)_destination,Snowfall (mm)_destination,Maximum Temperature (*C)_destination,Avg Pressure for the day (hPa)_destination,Avg Wind Speed (m/s)_destination,Avg Humidity (%)_destination,Fog_destination,Thunder_destination,Smoke_or_Haze_destination,Departure Delay (minutes),Arrival Delay (minutes),Carrier Delay (minutes),Weather Delay (minutes),National Air System Delay (minutes),Security Delay (minutes),Late Aircraft Delay (minutes),cancelled,cancellation_code,diverted,Operator - Unique Carrier Code2_9E,Operator - Unique Carrier Code2_9K,Operator - Unique Carrier Code2_AA,Operator - Unique Carrier Code2_AS,Operator - Unique Carrier Code2_AX,Operator - Unique Carrier Code2_B6,Operator - Unique Carrier Code2_C5,Operator - Unique Carrier Code2_CP,Operator - Unique Carrier Code2_DL,Operator - Unique Carrier Code2_EM,Operator - Unique Carrier Code2_EV,Operator - Unique Carrier Code2_F9,Operator - Unique Carrier Code2_G4,Operator - Unique Carrier Code2_G7,Operator - Unique Carrier Code2_HA,Operator - Unique Carrier Code2_KS,Operator - Unique Carrier Code2_MQ,Operator - Unique Carrier Code2_NK,Operator - Unique Carrier Code2_OH,Operator - Unique Carrier Code2_OO,Operator - Unique Carrier Code2_PT,Operator - Unique Carrier Code2_QX,Operator - Unique Carrier Code2_UA,Operator - Unique Carrier Code2_VX,Operator - Unique Carrier Code2_WN,Operator - Unique Carrier Code2_YV,Operator - Unique Carrier Code2_YX,Operator - Unique Carrier Code2_ZW,Aircraft group2_4.0,Aircraft group2_6.0,Aircraft group2_UNK,Aircraft type2_432.0,Aircraft type2_441.0,Aircraft type2_482.0,Aircraft type2_530.0,Aircraft type2_608.0,Aircraft type2_612.0,Aircraft type2_614.0,Aircraft type2_622.0,Aircraft type2_623.0,Aircraft type2_624.0,Aircraft type2_626.0,Aircraft type2_627.0,Aircraft type2_629.0,Aircraft type2_631.0,Aircraft type2_634.0,Aircraft type2_638.0,Aircraft type2_655.0,Aircraft type2_656.0,Aircraft type2_673.0,Aircraft type2_675.0,Aircraft type2_676.0,Aircraft type2_677.0,Aircraft type2_678.0,Aircraft type2_687.0,Aircraft type2_694.0,Aircraft type2_696.0,Aircraft type2_698.0,Aircraft type2_699.0,Aircraft type2_721.0,Aircraft type2_722.0,Aircraft type2_723.0,Aircraft type2_887.0,Aircraft type2_888.0,Aircraft type2_UNK,Aircraft configuration2_1.0,Aircraft configuration2_2.0,Aircraft configuration2_UNK,Service class2_F,Service class2_G,Service class2_L,Service class2_UNK,Airport Type_origin2_large_airport,Airport Type_origin2_medium_airport,Airport Type_origin2_small_airport,Airport Type_destination2_large_airport,Airport Type_destination2_medium_airport,Airport Type_destination2_small_airport
10,Average number of available seats,-0.921264508,-0.728881054,0.00028175,-0.006159008,-0.001697221,0.007928318,0.063245422,0.31025704,0.298196,0.921249818,1,0.505697533,0.525316813,0.483802164,0.09780499,0.10081756,-0.022760325,-0.001503955,0.007049034,-0.02107393,0.100256045,0.05339355,0.019025496,-0.08184862,-0.033673001,,,0.105964239,0.108513217,-0.023067632,-0.022282347,0.005825051,-0.022141199,0.099670947,0.054924108,0.015095837,-0.07937967,-0.029101603,,,0.052752429,0.001140313,0.012633477,-0.006845271,-0.008396249,0.003055469,-0.026253473,,,,-0.19402882,-0.019094039,0.255950032,0.152526207,-0.14080081,0.055915785,-0.120804537,-0.099204891,0.293218826,-0.052125421,-0.203549135,0.131144777,0.120071029,-0.103233318,0.083337245,-0.024405883,-0.276975302,0.167853074,-0.224933862,-0.421541183,-0.185530252,-0.11348898,0.253136807,0.017692396,0.250656137,-0.150478031,-0.194782396,-0.163532952,-0.103678636,0.135602238,-0.087108354,-0.024405883,-0.051981056,-0.088976402,-0.009224334,0.049402843,0.221147876,0.228714005,0.169577079,0.06568162,0.069738602,0.044315924,0.124198786,-0.403276915,-0.2516236,0.021609211,-0.247365304,0.104652716,0.051108143,-0.324894895,-0.361044401,-0.162233368,-0.110820787,-0.038754361,0.039421942,0.208823955,0.130450249,0.127763132,0.276146132,0.083816374,0.104767809,0.025444173,0.008587139,0.256767777,-0.087108354,0.080264809,0.014920543,-0.087108354,0.080191304,0.014920543,-0.004707813,-0.087108354,0.259171112,-0.252851391,-0.054508809,0.25902979,-0.252951797,-0.052986027
11,Distance interval (x500mi),-0.376461969,-0.349188044,-0.000205894,-0.00071022,0.005928241,0.011024242,0.068300354,0.307350916,0.363577742,0.498297342,0.505697533,1,0.97246533,0.954731655,0.076007305,0.078953547,-0.011275412,0.008654606,-0.00202099,-0.009157276,0.038324435,0.048439708,0.049579587,-0.046196184,-0.019142688,,,0.082718398,0.085641987,-0.013233952,-0.038374951,-0.003647007,-0.004489122,0.035324283,0.048889473,0.04667502,-0.044674141,-0.015723318,,,0.034598702,-0.02713501,0.016907457,-0.005672142,0.027901429,0.002942575,-0.025534481,,,,-0.085877189,,0.14684209,0.16265843,-0.041223679,0.111191079,-0.048561118,-0.045366909,0.080343852,-0.030272964,-0.069752766,0.055682475,0.019859761,-0.045157266,0.000830634,-0.000540063,-0.111299189,0.062394055,-0.116418822,-0.157503314,-0.089799455,-0.074866127,0.205811105,,-0.045497643,-0.063203937,-0.061906344,-0.071488425,-0.090155598,0.090155598,,-0.000540063,-0.030272964,-0.085507132,-0.003053477,-0.083319765,-0.120989912,0.211202105,0.174971693,0.096809655,0.087051847,0.053584326,0.141151224,-0.197346656,-0.118094771,0.034570323,-0.106938599,-0.086100537,-0.004094025,-0.084254685,-0.148659678,-0.076066163,-0.024835149,-0.072458067,0.061611522,0.096695448,0.128691283,0.024255408,0.237244115,0.098715634,0.05031079,0.006981948,0.021125769,0.216869012,,0.009600135,-0.009600135,,0.007759442,-0.009600135,0.001680594,,0.182174359,-0.179505044,-0.029155485,0.179793525,-0.1768665,-0.030778099
12,Distance (miles),-0.393274397,-0.357524746,0.000947709,-0.001933796,0.005310049,0.011639173,0.069288172,0.310915889,0.377691148,0.515683442,0.525316813,0.97246533,1,0.981433038,0.075490478,0.07834197,-0.014687171,0.009470593,-0.006499131,-0.010996628,0.037865549,0.051111474,0.04723885,-0.045850594,-0.019084221,,,0.081768272,0.084777955,-0.016705838,-0.039838663,-0.007386321,-0.005522635,0.035781994,0.052430193,0.043099002,-0.044361814,-0.016718782,,,0.036614794,-0.02697149,0.017900851,-0.00593106,0.02787393,0.004174807,-0.026665114,,,,-0.092811178,-0.013817832,0.144463623,0.170877501,-0.050724974,0.110800086,-0.052668892,-0.040995754,0.075197895,-0.041322018,-0.074351496,0.055595336,0.019745225,-0.045913747,-0.015497548,0.000383549,-0.113395864,0.066279455,-0.12004642,-0.162333865,-0.09947986,-0.079035154,0.215597134,0.044890181,-0.026180287,-0.059506257,-0.061414866,-0.078914215,-0.096583488,0.081581185,-0.018525288,0.000383549,-0.041211927,-0.088600749,-0.004188812,-0.100648113,-0.100709733,0.213403977,0.1830104,0.097376382,0.098104591,0.043288185,0.14256106,-0.206713663,-0.117748332,0.033584704,-0.114796469,-0.09138457,-0.002113148,-0.078623122,-0.157375099,-0.078893309,-0.024788014,-0.067250226,0.058587027,0.089274094,0.129693591,0.023731887,0.240340043,0.100132844,0.048406865,0.010395542,0.021382121,0.227153777,-0.018525288,0.022314189,-0.016923966,-0.018525288,0.021887891,-0.016923966,0.001728796,-0.018525288,0.195629771,-0.192422291,-0.032199036,0.194332366,-0.190908448,-0.033768302
13,Scheduled Elapsed Time,-0.351459229,-0.326581976,0.006109199,-0.009173209,0.005643998,0.009485086,0.059981945,0.299317684,0.373238406,0.479134352,0.483802164,0.954731655,0.981433038,1,0.073661148,0.076487112,-0.01764493,-0.001427764,-0.001081308,-0.001681028,-0.001822064,0.085342609,0.064129372,-0.023506643,-0.002566108,,,0.121189122,0.125155636,-0.019353611,-0.028522521,-0.012798262,-0.003744734,0.018367406,0.047965133,0.042167427,-0.044983287,-0.013926924,,,0.036114741,-0.039567047,0.015291252,-0.004574045,0.035289928,0.003094373,-0.027033641,,,,-0.074064226,-0.015698143,0.155208598,0.165086064,-0.046522378,0.113868788,-0.042424792,-0.033592365,0.075731853,-0.050358465,-0.065392824,0.056826866,0.002165476,-0.040764591,-0.039668076,0.000539354,-0.106694277,0.062732343,-0.110701551,-0.14544066,-0.088359706,-0.083912885,0.206600992,0.045412593,-0.068549753,-0.062508849,-0.039396765,-0.07072486,-0.106276811,0.086173024,-0.015351649,0.000539354,-0.050227985,-0.095766608,-0.003296343,-0.108748602,-0.139273333,0.205221998,0.17859367,0.09248347,0.100582109,0.044332101,0.127290225,-0.192394781,-0.108015585,0.032800064,-0.100782956,-0.095221582,-0.003222183,-0.058032786,-0.140996809,-0.073581313,-0.011963297,-0.058111277,0.055372803,0.084392284,0.120301944,0.021187032,0.246242741,0.094142291,0.049110957,0.014690926,0.018227194,0.223977345,-0.015351649,0.020989649,-0.023598149,-0.015351649,0.020569321,-0.023598149,0.001770886,-0.015351649,0.19869452,-0.195755574,-0.030704322,0.21451485,-0.211229843,-0.033863302
14,Flights Count_origin,-0.07528882,-0.07113039,0.013309145,0.022338085,-0.002182161,-0.036696829,-0.013713193,0.031892493,0.155834191,0.088940568,0.09780499,0.076007305,0.075490478,0.073661148,1,0.988400071,0.027301954,0.012769753,-2.31E-06,-0.0179659,0.013970931,-0.127521146,0.06114861,-0.077598972,-0.024241808,,,-0.319329502,-0.330136138,0.065029133,-0.003129052,0.003021928,0.00155291,0.023194257,0.027687683,-0.031185165,0.052971175,0.033622753,,,0.068877734,0.053868103,0.04659914,0.019724659,0.011941606,-0.000654996,0.010364492,,,,-0.013897863,-0.014925013,0.121619506,-0.01967184,0.007271996,-0.050225403,-0.039113611,0.008261994,0.156263425,-0.033815605,-0.030967747,0.003415431,-0.100722561,0.00071523,-0.087906652,-0.014663383,0.030375583,0.020169965,-0.029814153,-0.028441845,-0.045110033,-0.063058172,0.091131598,0.001483889,-0.130165254,-0.029394459,-0.018618609,0.024849999,-0.058511527,0.056149962,-0.02063831,-0.014663383,-0.033718244,-0.048528828,0.009611236,-0.011805638,-0.125267228,0.028423828,0.076278758,0.031184674,0.006234678,0.013607622,0.002743185,-0.027302142,-0.003469423,0.000379291,-0.018353635,0.109197926,0.051333923,-0.025265617,-0.036502924,-0.007707714,0.000861037,-0.013445154,0.006798616,-0.03645589,-0.009438237,0.011331925,0.111292738,-0.020423456,0.003045932,0.011696964,-0.002629507,0.087985703,-0.02063831,0.028355937,-0.032253749,-0.02063831,0.028782678,-0.032253749,-0.005051383,-0.02063831,0.533075665,-0.527817237,-0.058592585,-0.264327207,0.259321703,0.047224529
15,Average Flights Per Day_origin,-0.077467047,-0.07060823,-0.003382123,0.004570534,-0.006627901,-0.004537123,-0.013552074,0.03175559,0.160867695,0.091770982,0.10081756,0.078953547,0.07834197,0.076487112,0.988400071,1,-0.059303154,0.013043564,-0.001691687,-0.011358745,-0.017644254,-0.128977268,0.065558355,-0.080220385,-0.019460594,,,-0.329753098,-0.332857724,0.011169892,-0.002777989,0.000535903,0.007298979,-0.005216051,0.02951012,-0.02812083,0.054580828,0.038274146,,,0.062670119,0.045391076,0.04460983,0.019896013,0.00941577,-0.000526651,0.004644456,,,,-0.01642407,-0.01519441,0.125416045,-0.019045272,0.008593714,-0.050227591,-0.039543831,0.008068593,0.155595811,-0.034140353,-0.030583413,0.00372142,-0.102997468,0.000937571,-0.08830363,-0.014787196,0.029619156,0.021389529,-0.029455699,-0.029494256,-0.046026664,-0.063660033,0.092608123,0.003707126,-0.131390239,-0.029221048,-0.020050646,0.025635795,-0.059267844,0.056236147,-0.020009856,-0.014787196,-0.034041018,-0.049205398,0.009525623,-0.013736418,-0.126476253,0.029683459,0.078153402,0.03236772,0.006579242,0.013558144,0.004101984,-0.028682483,-0.002846263,0.00040932,-0.019757146,0.109032913,0.050623186,-0.026040756,-0.036677898,-0.008797597,0.000756696,-0.014661282,0.007430161,-0.036309106,-0.00901031,0.010431156,0.114798106,-0.020195903,0.003617817,0.011061286,-0.002783617,0.089684572,-0.020009856,0.027855843,-0.032664082,-0.020009856,0.028264606,-0.032664082,-0.004884067,-0.020009856,0.538976235,-0.533651647,-0.059295127,-0.265634569,0.260619495,0.047080689
16,Busyness Score_origin,0.023074202,-0.007258767,0.11645861,0.096395029,0.027077261,-0.163764035,0.000152741,0.004702444,-0.065127804,-0.011371373,-0.022760325,-0.011275412,-0.014687171,-0.01764493,0.027301954,-0.059303154,1,-0.005944508,-0.001550375,-0.049020699,0.169988507,-0.010601092,-0.018804935,0.012136352,-0.033931136,,,0.062336076,0.00391262,0.343473902,-0.008226748,0.009078524,-0.025799109,0.146456834,-0.012926184,-0.010376955,-0.008500209,-0.022532217,,,0.031230403,0.045441256,0.005377509,0.000490277,0.009916961,-0.000664689,0.034240153,,,,0.01286227,0.10725196,-0.022957478,-0.001877456,0.005303068,-0.001428194,0.014238746,-0.0022038,-0.002579597,0.001908933,-0.01248606,0.003444171,0.075444677,0.000190576,-0.009876267,0.003592423,0.004505729,-0.003818801,-0.00947523,0.021456385,-0.000325595,0.025737375,-0.006394683,-0.01159879,-0.019577169,-0.007201649,0.005997233,-0.008224335,0.000611038,-0.00226122,0.002559714,0.003592423,0.001896017,-0.000511318,0.001223229,-0.00087893,-0.013328475,-0.01834725,-7.58E-05,-0.006370307,-0.003258377,-0.002303826,-0.005574519,0.019923436,-0.001016638,-0.001508499,0.001515437,-0.001669324,-0.000899815,0.010486311,0.003643684,0.010834086,0.000853962,0.010086106,-0.000963987,0.01148056,0.000104066,0.017057801,-0.01953411,-0.004157577,0.001635836,0.001496465,0.001732527,-0.010775552,0.002559714,-0.007158874,0.017956972,0.002559714,-0.007011878,0.017956972,-0.000631206,0.002559714,-0.074031577,0.066849709,0.054218689,-0.000360512,0.000154775,0.002496665
17,Scheduled hour of departure,0.003467106,0.003160798,0.003285917,0.004052884,-0.001004858,0.001547276,-0.00786469,-0.000450488,0.013957524,-0.001752881,-0.001503955,0.008654606,0.009470593,-0.001427764,0.012769753,0.013043564,-0.005944508,1,-0.002138558,-0.006945488,0.013962409,-0.009342565,-0.003187364,-0.004938447,-0.003296508,,,-0.012289174,-0.010489649,-0.001329872,0.280283519,0.006471408,0.001976452,0.005140429,0.008045776,0.003387359,0.010915637,0.000984191,,,-0.05081451,-0.04321777,-0.017187102,-0.015899293,-0.018701093,-0.002242721,-0.045081919,,,,0.005282716,0.000230685,0.003081998,-0.008362306,0.006767523,-0.00453725,0.003048051,-0.006599068,0.00407815,-0.00181752,0.004983155,-0.010225869,0.001095679,0.001296548,0.006394748,-0.00436972,-0.004486629,-0.006429902,0.008325064,-0.000943394,0.005547123,-0.004839323,0.001372116,-0.001253277,-0.001506173,-0.002800921,-0.002027521,0.002887072,-0.008434719,0.007386764,-0.001984829,-0.00436972,-0.001568607,-0.007864723,-0.003447699,-0.004793521,-0.00318448,0.009148132,0.002260736,-0.001824879,0.001450962,0.002272529,-0.000264132,0.008233165,0.00159615,0.000228249,0.003368521,-0.00394174,0.001488884,-0.004810077,0.004209769,0.00322849,-0.004394479,-0.001105677,-0.001207879,-0.010840479,0.004409824,0.002699562,-0.000726487,0.015489717,-0.002899799,0.005148509,-0.003122206,-0.00124411,-0.001984829,0.001506728,0.00157457,-0.001984829,0.001455953,0.00157457,0.000281313,-0.001984829,-0.002434826,0.002509023,-0.002629014,-0.017901141,0.01895371,-0.009127432
18,Precipitation (mm)_origin,-0.011094418,-0.016990073,-0.018614156,0.031067859,-0.000150241,0.007172797,0.00585831,-0.025515715,-0.001550405,0.010069633,0.007049034,-0.00202099,-0.006499131,-0.001081308,-2.31E-06,-0.001691687,-0.001550375,-0.002138558,1,0.0825088,0.041842867,0.088144474,0.099005126,0.263445017,0.278583147,,,0.00157627,-0.001173245,0.00570626,0.011859676,0.13501997,-0.002179769,0.05607318,0.03183916,0.03153523,0.0912206,0.070153462,,,0.07500471,0.086990309,0.039660123,0.053693527,0.042303693,-0.001464797,0.046245785,,,,0.011961904,-0.000161315,0.007249122,-0.019846214,-0.010481156,0.013226481,0.004597023,-0.026805763,0.016405919,0.014106389,0.007284112,-0.008698246,0.008914003,-0.007277867,0.062409374,-0.004802585,0.007257207,0.00324724,0.018609855,-0.035420656,0.010895971,-0.022500569,-0.009134414,-0.001889233,-0.015550612,-0.011032965,0.01969334,0.006159317,-0.012225078,0.007553539,0.001519125,-0.004802585,0.014206722,-0.016772478,0.002476881,0.042044122,-0.013781969,-0.003638792,0.00847625,-0.002284336,-0.003174576,0.009508111,0.00752804,-0.011590382,-0.000266882,-0.001530537,0.004725847,0.023351706,0.002225589,-0.016644415,0.006405249,0.002478951,0.006784011,0.015306595,0.012311827,0.007486232,0.014071778,-0.000732343,0.001646603,0.002666242,-0.008441872,-0.006645586,0.006303926,-0.01935753,0.001519125,-0.001363181,-0.000402877,0.001519125,-0.00123627,-0.000402877,-0.000850765,0.001519125,0.002699552,-0.001097832,-0.013090936,-0.003888845,0.004860583,-0.006364865
19,Snowfall (mm)_origin,0.018695641,0.010787496,0.000628489,-0.07287385,-0.00546777,-0.009621246,-0.000343135,0.018026559,-0.001569272,-0.016106529,-0.02107393,-0.009157276,-0.010996628,-0.001681028,-0.0179659,-0.011358745,-0.049020699,-0.006945488,0.0825088,1,-0.24509703,-0.07728764,0.092071647,0.067559425,0.13214218,,,-0.00120024,0.005292328,-0.027108258,-0.005761764,-0.006112729,0.085406954,-0.139167941,-0.011138151,0.047145121,-0.001336773,0.023825131,,,0.040082529,0.068674158,0.014518973,0.037874216,0.064949876,-0.001761598,0.031679716,,,,0.007938442,-0.001706772,-0.013590321,-0.000838288,0.01186308,-0.004782159,0.007687587,-0.006156559,0.005603443,-0.00282517,-0.003113583,0.004230335,-0.000165935,0.005440901,-0.00962778,0.000704213,0.001291403,-0.007637943,-0.009839664,0.029483762,-0.001094417,0.004522122,-0.000434559,-0.001952035,-0.010326233,-0.011308542,0.000576136,0.004909304,0.00197039,-0.005122879,0.005197951,0.000704213,-0.00282517,0.002538059,0.01094437,0.002853653,-0.009283762,-0.004133536,-0.004750403,0.00287911,-0.001507072,0.006983139,-0.005182474,0.022397101,0.001866889,-0.002252705,-0.001172653,-0.012214524,-0.001424653,0.002934673,0.009062657,-0.009267207,0.001910891,0.003766513,-0.001067606,-0.007334232,-0.0043315,0.004210694,-0.009885614,-0.002099774,-0.000638893,-0.001405122,-0.000355858,0.004313376,0.005197951,-0.009537874,0.018355279,0.005197951,-0.009168862,0.018355279,-0.002013264,0.005197951,-0.013542461,0.012810357,0.006986086,0.002753621,-0.003274192,0.001899134
20,Maximum Temperature (*C)_origin,-0.096049097,-0.060098758,-0.00204432,0.147690772,0.014232379,0.012076718,-0.000881272,-0.058466117,0.051659938,0.089308858,0.100256045,0.038324435,0.037865549,-0.001822064,0.013970931,-0.017644254,0.169988507,0.013962409,0.041842867,-0.24509703,1,-0.003994177,-0.170950633,-0.11537552,-0.122610833,,,0.021240318,-0.007992115,0.139999028,-0.003930955,0.055676554,-0.138857115,0.639614056,-0.016727998,-0.088651851,0.00936546,-0.064983085,,,0.00857269,0.017073059,0.003727562,0.004256514,-0.020837454,0.00193424,0.001065016,,,,-0.034329949,0.011266601,0.05218732,-0.034559682,-0.025822032,0.007169054,-0.012290912,0.005238572,0.003417548,0.024130673,-0.016184971,0.015933156,0.022101394,-0.034986773,0.073084755,-0.019283657,-0.019933673,0.025027409,0.002006482,-0.058487682,-0.014073408,-0.035805366,-0.008522637,-0.013900122,0.052407763,0.028331749,-0.025930258,-0.039937181,-0.026427075,0.02531595,-0.009297925,-0.019283657,0.024055509,-0.03300278,-0.010352958,0.029133585,0.041801478,0.022464777,0.019014216,-0.004695974,-0.006330688,0.002801136,0.022742233,-0.066129581,-0.029118295,-0.002648557,-0.003755215,0.022632441,0.009277773,-0.025003842,-0.04636395,0.015249483,-0.023389264,-0.019580455,0.0040028,0.022075219,0.016048424,0.012874515,0.034904945,0.010378326,0.017306602,-0.004658373,0.002693332,-0.020940151,-0.009297925,0.018191317,-0.035233543,-0.009297925,0.017446942,-0.035233543,0.004390257,-0.009297925,0.01386434,-0.009421653,-0.03703598,-0.013130636,0.013490063,-0.000843262
21,Avg Pressure for the day (hPa)_origin,-0.051546824,-0.072635826,-0.01012672,-0.010073625,-0.003341087,0.001654628,0.022196047,-0.025840929,-0.071311412,0.050635848,0.05339355,0.048439708,0.051111474,0.085342609,-0.127521146,-0.128977268,-0.010601092,-0.009342565,0.088144474,-0.07728764,-0.003994177,1,-0.051258019,0.287352798,0.06320447,,,0.026924693,0.028226298,-0.014255672,0.01110375,0.039231302,-0.011877257,-0.017015,0.228907518,0.005950811,0.085659859,0.02135292,,,-0.005500602,-0.017189684,-0.004650356,0.002426005,-0.001033431,0.000841692,-0.001980326,,,,0.050173707,0.003352357,0.075035668,0.063334014,-0.139400405,0.104762253,0.04046299,-0.010885225,-0.004274985,0.01755927,0.031061884,-0.0938862,-0.01471621,-0.032422909,0.063281898,0.00428064,0.0329349,0.028250866,0.051800412,-0.183720667,0.049926838,-0.016446301,-0.03419618,0.015448016,-0.052276027,-0.027395771,0.064338463,0.018650376,-0.005760296,-0.010592285,0.021155103,0.00428064,0.017472764,-0.012068043,0.001682235,0.042552582,-0.043222035,-0.002016067,0.03187162,0.021524365,0.019744302,-0.016580827,0.014580649,-0.088178281,-0.02947784,0.00800058,0.020608117,0.017093073,0.002465511,-0.01780393,0.002066562,0.025824114,0.013305296,0.07694369,0.001940171,0.047076703,0.015969914,0.013169319,0.056071032,0.019277162,-0.083893511,-0.010741737,0.002388251,-0.035272985,0.021155103,-0.02471621,0.015609579,0.021155103,-0.02502792,0.015609579,0.003947195,0.021155103,0.093148167,-0.085542787,-0.106870484,0.071373082,-0.063820657,-0.050403976
22,Avg Wind Speed (m/s)_origin,-0.022334741,-0.035784373,-0.008678054,-0.120379617,0.013512812,0.002238647,0.0041543,0.038290557,-0.005408555,0.020076159,0.019025496,0.049579587,0.04723885,0.064129372,0.06114861,0.065558355,-0.018804935,-0.003187364,0.099005126,0.092071647,-0.170950633,-0.051258019,1,-0.079634876,-0.02033906,,,-0.023961911,-0.021044239,-0.008007278,0.004535446,0.026606763,0.04588005,-0.09132065,0.005241621,0.197578903,-0.012782089,0.006533133,,,0.037999624,0.03811883,0.021351113,-0.000402275,0.027700878,-0.00255897,0.028056006,,,,0.011944889,0.016366964,-0.011366068,-0.019765273,0.022986122,0.048621858,-0.005280548,-0.023165102,0.004873126,0.016182832,0.008668777,0.005014562,-0.010000437,0.006785286,0.049706054,-0.008415672,0.018544315,0.007232737,-0.05225783,-0.009077954,-0.02110867,-0.043407804,0.042397662,0.001094834,-0.027839999,-0.017416837,0.0260782,-0.000721504,-0.029170299,0.022487789,-0.002194813,-0.008415672,0.016337398,-0.034636434,4.33E-05,0.02861104,-0.026557239,-0.004431444,0.017142838,0.011348234,0.010913745,-2.55E-07,0.015378291,-0.00125947,-0.019279673,-0.003988341,-0.019882375,-0.011473473,-0.004720578,-0.012244958,0.006016077,0.01312209,0.02438252,0.037978265,0.000997709,0.008553362,0.009778969,-0.011267284,0.022450094,0.002181383,-0.001065248,0.006848552,0.000446018,0.015081389,-0.002194813,0.002599342,-0.001804058,-0.002194813,0.002855008,-0.001804058,-0.002135392,-0.002194813,0.044910803,-0.044062853,-0.012670488,-0.009662978,0.00888899,0.005477031
23,Avg Humidity (%)_origin,0.072419724,0.041246406,-0.038214886,0.047252071,0.006136236,-0.000143989,-0.002362793,-0.013714975,-0.052228585,-0.068921065,-0.08184862,-0.046196184,-0.045850594,-0.023506643,-0.077598972,-0.080220385,0.012136352,-0.004938447,0.263445017,0.067559425,-0.11537552,0.287352798,-0.079634876,1,0.485459204,,,0.053014365,0.054417921,-0.015363155,0.022409171,0.095725058,0.005065783,0.001544152,0.078313495,-0.013172733,0.168511324,0.100207565,,,0.017555989,0.038568314,0.008779953,0.026831218,0.041748043,0.002312435,0.019576661,,,,0.043739056,0.006654395,-0.021421606,0.010464172,0.000211251,0.024454362,0.01516789,-0.028533994,0.010583439,-0.004597947,0.033364062,-0.020533591,-0.018025087,0.011252294,0.004319718,0.00591929,0.057274362,-0.016982207,0.059866747,-0.017915871,0.024798595,7.48E-05,-0.004812582,-0.007368579,-0.082851513,-0.033484772,0.02435751,0.036950303,-7.95E-05,-0.005990072,0.008666911,0.00591929,-0.00487622,0.000762589,0.00373088,0.023175393,-0.06483212,-0.02685646,0.008514655,0.005607487,0.00694572,-0.004875959,0.000399581,0.03476605,0.017424168,0.003195209,0.026756669,0.031373769,0.002714609,-0.000963665,0.050121914,0.029968117,0.007700455,0.014065458,0.000933218,0.00312481,-0.006003502,-0.002434495,-0.036933414,0.002676605,-0.025675087,-0.007766024,0.000550374,-0.018712739,0.008666911,-0.013712357,0.019136042,0.008666911,-0.013905033,0.019136042,0.002337014,0.008666911,-0.079906867,0.080860706,-0.011279623,0.029808158,-0.028233298,-0.012723858
24,Fog_origin,0.029131532,0.02079755,-0.006462595,0.022735742,-0.007130652,-0.001027803,-0.005680057,-0.009443308,-0.005768776,-0.026184069,-0.033673001,-0.019142688,-0.019084221,-0.002566108,-0.024241808,-0.019460594,-0.033931136,-0.003296508,0.278583147,0.13214218,-0.122610833,0.06320447,-0.02033906,0.485459204,1,,,0.03424972,0.038127963,-0.022830653,0.008791579,0.077583031,0.020149738,-0.064934996,0.020485197,0.001675533,0.104312634,0.116658685,,,0.050079426,0.071958307,0.0132221,0.034072706,0.0605346,0.003945189,0.044109953,,,,0.025596166,0.00816372,-0.030191603,0.002855962,0.001656624,0.01670225,0.012551262,-0.003135575,0.014072604,-0.014956708,-0.008978405,0.003970463,0.004625418,-0.002340144,-0.024706991,-0.003387151,0.004677023,-0.011446807,0.045234478,-0.004302305,0.021452951,0.0035298,-0.008988822,-0.004944497,-0.017778737,-0.03809368,0.016837147,0.024676031,0.001342624,-0.000213927,-0.001026849,-0.003387151,-0.014863276,0.006592656,0.004806747,-0.004756199,-0.018174327,-0.024798324,0.003276176,0.00108349,0.006083235,-0.001573515,-0.017907482,0.024303095,0.008632609,-0.009257078,0.010893549,0.005741229,0.001303841,-0.004061923,0.020044776,-0.00512527,0.000907859,0.019937639,0.002769331,-0.001503238,-0.004197447,0.005455412,-0.011605443,-0.004938665,0.005576418,-0.010183104,-0.002458499,-0.000384765,-0.001026849,0.003980415,-0.01149253,-0.001026849,0.003828552,-0.01149253,0.000863428,-0.001026849,-0.039502109,0.042621398,-0.02294775,0.03242591,-0.032029377,-0.005629733
25,Thunder_origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Smoke_or_Haze_origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
